time	V(n001)
0.000000000000000e+000	0.000000e+000
4.618750021368866e-006	1.173004e-004
9.237500042737733e-006	2.323648e-004
1.385625006410660e-005	3.451934e-004
1.847500008547547e-005	4.557861e-004
2.309375010684433e-005	5.641429e-004
2.771250012821320e-005	6.702638e-004
3.233125014958205e-005	7.741489e-004
4.209687514958205e-005	9.742467e-004
5.186250014958206e-005	1.149275e-003
6.162812514958205e-005	1.295082e-003
7.139375014958205e-005	1.408468e-003
7.775930611102981e-005	1.463855e-003
8.289635614352590e-005	1.497586e-003
8.817091390478269e-005	1.521934e-003
9.620624490936816e-005	1.539041e-003
1.059718699093682e-004	1.528046e-003
1.157374949093682e-004	1.483968e-003
1.255031199093681e-004	1.409708e-003
1.352687449093682e-004	1.309113e-003
1.450343699093682e-004	1.186841e-003
1.547999949093682e-004	1.048194e-003
1.840968699093682e-004	5.928138e-004
1.938624949093682e-004	4.479655e-004
2.036281199093682e-004	3.161576e-004
2.133937449093682e-004	2.024269e-004
2.231593699093682e-004	1.110909e-004
2.329249949093682e-004	4.560057e-005
2.426906199093683e-004	8.422040e-006
2.482462377404272e-004	4.856431e-007
2.543479583795660e-004	2.983461e-006
2.620768038785258e-004	2.292126e-005
2.718424288785258e-004	7.416354e-005
2.816080538785258e-004	1.526428e-004
2.913736788785258e-004	2.553995e-004
3.000000000000000e-004	3.632713e-004
3.029296875000000e-004	5.860120e-004
3.068359375000000e-004	8.743851e-004
3.146484375000000e-004	1.369501e-003
3.178964732356403e-004	1.525524e-003
3.202042177225780e-004	1.614264e-003
3.219102269263274e-004	1.667206e-003
3.236126858072755e-004	1.708927e-003
3.257300918452758e-004	1.745035e-003
3.276886612107551e-004	1.762776e-003
3.308699731318425e-004	1.759997e-003
3.359751355003034e-004	1.678891e-003
3.438373300295411e-004	1.405478e-003
3.536029550295411e-004	9.438980e-004
3.617777868992240e-004	5.998855e-004
3.659696055410235e-004	4.798701e-004
3.688201282642530e-004	4.285981e-004
3.708814136982108e-004	4.086000e-004
3.724188538726056e-004	4.034835e-004
3.742290264769644e-004	4.084533e-004
3.762132539951140e-004	4.276916e-004
3.784748258590562e-004	4.671128e-004
3.821408191050617e-004	5.692568e-004
3.879785027367739e-004	8.189459e-004
3.967589360980965e-004	1.332315e-003
4.065245610980965e-004	1.934481e-003
4.117611088303412e-004	2.195708e-003
4.164473443361753e-004	2.360238e-003
4.200765340287374e-004	2.431799e-003
4.218146855443177e-004	2.447065e-003
4.253668002946883e-004	2.438253e-003
4.270972473152376e-004	2.414275e-003
4.299111763576439e-004	2.348049e-003
4.344482204250952e-004	2.173585e-003
4.415421162094767e-004	1.757930e-003
4.513077412094767e-004	1.013400e-003
4.610733662094767e-004	2.708421e-004
4.655143499889685e-004	-7.381248e-006
4.684993816483373e-004	-1.616128e-004
4.706453349379856e-004	-2.538876e-004
4.722411896768241e-004	-3.117929e-004
4.740131546998892e-004	-3.650375e-004
4.761328106496995e-004	-4.132047e-004
4.783439757444915e-004	-4.453952e-004
4.819296328883487e-004	-4.593350e-004
4.876473792365742e-004	-3.922496e-004
4.962836218135882e-004	-1.380473e-004
5.060492468135882e-004	2.192217e-004
5.130053618369403e-004	4.048777e-004
5.167796672536731e-004	4.532770e-004
5.193969594202077e-004	4.595626e-004
5.213082776383632e-004	4.487949e-004
5.228755766515286e-004	4.299112e-004
5.244891147824551e-004	4.008324e-004
5.263100583083094e-004	3.562027e-004
5.286322630113934e-004	2.812539e-004
5.323947210701054e-004	1.184701e-004
5.383755882469573e-004	-2.335452e-004
5.473247754028489e-004	-9.040500e-004
5.570904004028489e-004	-1.662105e-003
5.634870113196110e-004	-2.068816e-003
5.671032448716139e-004	-2.242222e-003
5.696294684156507e-004	-2.334099e-003
5.730905376909847e-004	-2.417499e-003
5.763676611535096e-004	-2.449333e-003
5.787259307844651e-004	-2.443676e-003
5.825456764783348e-004	-2.385298e-003
5.880405576943618e-004	-2.204145e-003
5.959943146776096e-004	-1.787932e-003
6.057599396776096e-004	-1.174586e-003
6.128674810133020e-004	-7.769589e-004
6.166876289809227e-004	-6.113300e-004
6.193310386355371e-004	-5.227348e-004
6.212593514115667e-004	-4.729531e-004
6.228147005423632e-004	-4.423689e-004
6.244755459139704e-004	-4.193781e-004
6.263050105016597e-004	-4.057413e-004
6.286240542716023e-004	-4.060279e-004
6.323814880642858e-004	-4.469725e-004
6.383549205742461e-004	-6.044527e-004
6.472954378526876e-004	-9.868755e-004
6.570610628526876e-004	-1.443611e-003
6.634737376954523e-004	-1.664989e-003
6.670942846747173e-004	-1.738451e-003
6.696230144282571e-004	-1.762937e-003
6.714763258298204e-004	-1.765793e-003
6.746333856296091e-004	-1.740088e-003
6.763637158614845e-004	-1.709426e-003
6.787195157130034e-004	-1.648946e-003
6.825353404605254e-004	-1.506814e-003
6.885950191082092e-004	-1.181642e-003
6.976354777042445e-004	-5.432267e-004
7.074011027042445e-004	1.786248e-004
7.136265765539953e-004	5.553736e-004
7.171976026816398e-004	7.182435e-004
7.196974870574427e-004	8.043409e-004
7.215317785009061e-004	8.517502e-004
7.231534936306711e-004	8.821389e-004
7.247558411013442e-004	9.013428e-004
7.264092446445196e-004	9.097981e-004
7.287935425847137e-004	9.017567e-004
7.326545901456727e-004	8.395130e-004
7.387808247379274e-004	6.281797e-004
7.451015510139629e-004	2.991563e-004
7.520952502949802e-004	-1.319617e-004
7.584113926623306e-004	-5.153882e-004
7.640682862857134e-004	-8.042917e-004
7.674979809837398e-004	-9.388136e-004
7.699146554697423e-004	-1.011200e-003
7.716937310356600e-004	-1.051673e-003
7.733519866624978e-004	-1.079222e-003
7.749200991593688e-004	-1.096065e-003
7.764703021272742e-004	-1.103853e-003
7.788928067216416e-004	-1.098477e-003
7.828144141298004e-004	-1.045957e-003
7.890294421358746e-004	-8.647098e-004
7.982463531044709e-004	-4.501640e-004
8.080119781044709e-004	7.490260e-006
8.138957882151717e-004	2.040816e-004
8.173803620450207e-004	2.720513e-004
8.198295043424962e-004	2.942104e-004
8.216301863967861e-004	2.960642e-004
8.232756687376991e-004	2.867127e-004
8.247927193952714e-004	2.686105e-004
8.264229539584767e-004	2.389834e-004
8.288158316401655e-004	1.765792e-004
8.326904855636005e-004	2.958842e-005
8.388367035151400e-004	-3.064760e-004
8.479760304176626e-004	-9.621162e-004
8.577416554176626e-004	-1.690972e-003
8.637774841009567e-004	-2.059572e-003
8.672999278817701e-004	-2.223106e-003
8.697713580777804e-004	-2.310568e-003
8.732219019267482e-004	-2.391743e-003
8.764544166873147e-004	-2.422667e-003
8.788669822686540e-004	-2.417072e-003
8.827728434613277e-004	-2.357599e-003
8.889648214413476e-004	-2.148288e-003
8.981558458592270e-004	-1.652475e-003
9.079214708592271e-004	-1.055828e-003
9.135625858961349e-004	-7.623773e-004
9.178453615004044e-004	-5.926784e-004
9.202327004249228e-004	-5.227408e-004
9.219315557442557e-004	-4.846907e-004
9.236384251564007e-004	-4.566311e-004
9.259928846942501e-004	-4.349563e-004
9.281163279703505e-004	-4.323677e-004
9.315618868013481e-004	-4.615187e-004
9.370690221367746e-004	-5.861486e-004
9.454460425526290e-004	-9.102864e-004
9.552116675526290e-004	-1.346818e-003
9.626010567471382e-004	-1.592409e-003
9.665105365452388e-004	-1.660114e-003
9.692044706084055e-004	-1.675145e-003
9.711655150633705e-004	-1.668449e-003
9.726979062847664e-004	-1.652476e-003
9.745994922959865e-004	-1.619307e-003
9.763511121493882e-004	-1.575597e-003
9.786990216404611e-004	-1.497364e-003
9.825023177183682e-004	-1.324536e-003
9.885435202095921e-004	-9.454543e-004
9.975626861176618e-004	-2.137827e-004
1.007328311117662e-003	6.280779e-004
1.013594043047387e-003	1.092762e-003
1.017175583496934e-003	1.307402e-003
1.019681605675305e-003	1.430571e-003
1.021519949460054e-003	1.505600e-003
1.023138791492869e-003	1.560502e-003
1.024729722670027e-003	1.604058e-003
1.026399534762612e-003	1.638585e-003
1.028777755540685e-003	1.668028e-003
1.032629163091491e-003	1.667870e-003
1.038741227928648e-003	1.557948e-003
1.047841706896264e-003	1.215727e-003
1.057607331896264e-003	7.788272e-004
1.063718214793968e-003	5.630591e-004
1.067259702456636e-003	4.805385e-004
1.069742304914462e-003	4.457488e-004
1.071565171213515e-003	4.333527e-004
1.073194992837859e-003	4.320760e-004
1.074829561610265e-003	4.402741e-004
1.076436649162021e-003	4.576481e-004
1.078838097092971e-003	5.006929e-004
1.082726338320645e-003	6.121677e-004
1.088107716214020e-003	8.421058e-004
1.096103501765530e-003	1.296587e-003
1.105869126765530e-003	1.888805e-003
1.112919733460090e-003	2.225438e-003
1.116722477424463e-003	2.345563e-003
1.119355986941687e-003	2.397563e-003
1.122837735983517e-003	2.423552e-003
1.126306920383146e-003	2.398994e-003
1.128627160129301e-003	2.354327e-003
1.132386494973308e-003	2.235502e-003
1.138362740866535e-003	1.940236e-003
1.147306540154054e-003	1.324266e-003
1.157072165154054e-003	5.843187e-004
1.163478762835072e-003	1.666637e-004
1.167097676549293e-003	-1.999475e-005
1.169625457476137e-003	-1.240941e-004
1.171478144235091e-003	-1.854431e-004
1.173086826278589e-003	-2.280207e-004
1.174637401850229e-003	-2.594508e-004
1.176365209278422e-003	-2.832519e-004
1.178721944025218e-003	-2.966872e-004
1.182539253022149e-003	-2.731268e-004
1.188601119440910e-003	-1.318030e-004
1.197644095049360e-003	2.476014e-004
1.207409720049360e-003	7.186469e-004
1.213630421434301e-003	9.554378e-004
1.217200205911244e-003	1.046249e-003
1.219699364989651e-003	1.085704e-003
1.221533177385944e-003	1.100958e-003
1.223155232233622e-003	1.104414e-003
1.224758929702474e-003	1.098401e-003
1.226410392845803e-003	1.082352e-003
1.228795409393549e-003	1.041659e-003
1.232657596726729e-003	9.334931e-004
1.238785506018887e-003	6.675280e-004
1.245102096887984e-003	3.066950e-004
1.252095924337332e-003	-1.306169e-004
1.258412489887617e-003	-4.931515e-004
1.264068756480886e-003	-7.422070e-004
1.267498302136378e-003	-8.430917e-004
1.269914888170588e-003	-8.875747e-004
1.271693904766292e-003	-9.053280e-004
1.273352195442757e-003	-9.100657e-004
1.274920540897194e-003	-9.039067e-004
1.276470466316517e-003	-8.876164e-004
1.278893073634074e-003	-8.419888e-004
1.282814843756341e-003	-7.177549e-004
1.289030109813261e-003	-4.072455e-004
1.298247287584979e-003	2.303103e-004
1.308012912584979e-003	9.574008e-004
1.313896194962748e-003	1.328587e-003
1.317380638916658e-003	1.503098e-003
1.319829704613637e-003	1.601180e-003
1.321630335785206e-003	1.659277e-003
1.324792698599055e-003	1.731220e-003
1.326422946227800e-003	1.753028e-003
1.328815819071562e-003	1.766213e-003
1.332690465323798e-003	1.741430e-003
1.338836672014275e-003	1.597069e-003
1.347975986144714e-003	1.215773e-003
1.357741611144714e-003	7.560409e-004
1.363777464619351e-003	5.365195e-004
1.367299914651980e-003	4.526477e-004
1.369771348519592e-003	4.175295e-004
1.371586819316643e-003	4.051973e-004
1.373221893073005e-003	4.042111e-004
1.374877345524868e-003	4.131513e-004
1.376454410841622e-003	4.310121e-004
1.378866972765330e-003	4.758164e-004
1.382772828162274e-003	5.914119e-004
1.388964797653402e-003	8.700354e-004
1.398155812518642e-003	1.421247e-003
1.407921437518642e-003	2.010674e-003
1.413562531610918e-003	2.267787e-003
1.417845319427123e-003	2.393972e-003
1.420232701223040e-003	2.433687e-003
1.421931556341995e-003	2.447635e-003
1.423638425877882e-003	2.449317e-003
1.425992884964069e-003	2.431066e-003
1.428116328409372e-003	2.394150e-003
1.431561887510944e-003	2.293925e-003
1.437069023254862e-003	2.038135e-003
1.445446044180737e-003	1.474777e-003
1.455211669180737e-003	7.035423e-004
1.462601057548505e-003	1.692439e-004
1.466510537076415e-003	-6.204409e-005
1.469204470987498e-003	-1.937131e-004
1.471165515344223e-003	-2.737845e-004
1.472697906634409e-003	-3.266383e-004
1.474599492728657e-003	-3.800599e-004
1.476351112310290e-003	-4.172009e-004
1.478699021902096e-003	-4.488615e-004
1.482502318139974e-003	-4.573445e-004
1.488543520867210e-003	-3.730622e-004
1.497562687047680e-003	-9.130342e-005
1.507328312047680e-003	2.606272e-004
1.513594043463685e-003	4.152488e-004
1.517175583778599e-003	4.557341e-004
1.519681605878423e-003	4.587986e-004
1.521519949611330e-003	4.467790e-004
1.523138791680893e-003	4.258378e-004
1.524729723004056e-003	3.956536e-004
1.526399534886795e-003	3.536875e-004
1.528777755742592e-003	2.758950e-004
1.532629163416703e-003	1.067154e-004
1.538741228435167e-003	-2.582141e-004
1.547841707609607e-003	-9.453389e-004
1.557607332609607e-003	-1.698805e-003
1.563718215109592e-003	-2.081274e-003
1.567259702670720e-003	-2.248640e-003
1.569742305069040e-003	-2.337606e-003
1.573194992981015e-003	-2.419228e-003
1.576436649256548e-003	-2.449505e-003
1.578838097246649e-003	-2.442819e-003
1.582726338568088e-003	-2.381088e-003
1.588107716306000e-003	-2.201302e-003
1.596103501915069e-003	-1.781359e-003
1.605869126915069e-003	-1.167872e-003
1.612919733531474e-003	-7.744238e-004
1.616722477472097e-003	-6.100159e-004
1.619355986975798e-003	-5.220088e-004
1.621277863750540e-003	-4.725383e-004
1.622837736015015e-003	-4.419814e-004
1.624480679745425e-003	-4.193227e-004
1.626306920385758e-003	-4.057335e-004
1.628627160133549e-003	-4.060413e-004
1.632386494980155e-003	-4.470591e-004
1.638362740877230e-003	-6.047232e-004
1.647306540169235e-003	-9.874095e-004
1.657072165169235e-003	-1.444074e-003
1.663478762841941e-003	-1.665120e-003
1.667097676553930e-003	-1.738499e-003
1.669625457479478e-003	-1.762949e-003
1.671478144237578e-003	-1.765789e-003
1.674637401855720e-003	-1.740030e-003
1.676365209280464e-003	-1.709395e-003
1.678721944028538e-003	-1.648873e-003
1.682539253027499e-003	-1.506641e-003
1.688601119449251e-003	-1.181262e-003
1.697644095061142e-003	-5.425732e-004
1.707409720061142e-003	1.792112e-004
1.713630421439557e-003	5.555723e-004
1.717200205914803e-003	7.183456e-004
1.719699364992218e-003	8.043964e-004
1.721533177387856e-003	8.517811e-004
1.723155232235999e-003	8.821656e-004
1.724758929706696e-003	9.013694e-004
1.726410392847373e-003	9.097999e-004
1.728795409396101e-003	9.017411e-004
1.732657596730839e-003	8.394417e-004
1.738785506025287e-003	6.279721e-004
1.745102096888730e-003	2.991244e-004
1.752095924338254e-003	-1.320041e-004
1.758412489889118e-003	-5.154505e-004
1.764068756481529e-003	-8.043126e-004
1.767498302136817e-003	-9.388245e-004
1.769914888170907e-003	-1.011206e-003
1.771693904766530e-003	-1.051676e-003
1.773352195443043e-003	-1.079225e-003
1.774920540897799e-003	-1.096068e-003
1.776470466316741e-003	-1.103853e-003
1.778893073634438e-003	-1.098475e-003
1.782814843756928e-003	-1.045949e-003
1.789030109814173e-003	-8.646848e-004
1.798247287586256e-003	-4.501177e-004
1.808012912586256e-003	7.528137e-006
1.813896194963304e-003	2.040919e-004
1.817380638917037e-003	2.720551e-004
1.819829704613911e-003	2.942113e-004
1.821630335785410e-003	2.960639e-004
1.823275848045597e-003	2.867111e-004
1.824792698599027e-003	2.686108e-004
1.826422946227790e-003	2.389836e-004
1.828815819071545e-003	1.765796e-004
1.832690465323771e-003	2.958933e-005
1.838836672014232e-003	-3.064740e-004
1.847975986144653e-003	-9.621128e-004
1.857741611144653e-003	-1.690969e-003
1.863777464619325e-003	-2.059571e-003
1.867299914651962e-003	-2.223105e-003
1.869771348519579e-003	-2.310568e-003
1.873221893072993e-003	-2.391742e-003
1.876454410841614e-003	-2.422667e-003
1.878866972765317e-003	-2.417072e-003
1.882772828162252e-003	-2.357599e-003
1.888964797653367e-003	-2.148289e-003
1.898155812518594e-003	-1.652477e-003
1.907921437518594e-003	-1.055830e-003
1.913562531610838e-003	-7.623798e-004
1.917845319427061e-003	-5.926798e-004
1.920232701223042e-003	-5.227408e-004
1.921931556341997e-003	-4.846906e-004
1.923638425877884e-003	-4.566311e-004
1.925992884964070e-003	-4.349563e-004
1.928116328409374e-003	-4.323677e-004
1.931561887510947e-003	-4.615187e-004
1.937069023254866e-003	-5.861486e-004
1.945446044180743e-003	-9.102864e-004
1.955211669180743e-003	-1.346818e-003
1.962601057548507e-003	-1.592409e-003
1.966510537076417e-003	-1.660114e-003
1.969204470987499e-003	-1.675145e-003
1.971165515344224e-003	-1.668449e-003
1.972697906634411e-003	-1.652476e-003
1.974599492728660e-003	-1.619307e-003
1.976351112310291e-003	-1.575597e-003
1.978699021902097e-003	-1.497364e-003
1.982502318139975e-003	-1.324536e-003
1.988543520867213e-003	-9.454543e-004
1.997562687047685e-003	-2.137826e-004
2.007328312047685e-003	6.280780e-004
2.013594043463687e-003	1.092762e-003
2.017175583778600e-003	1.307402e-003
2.019681605878424e-003	1.430571e-003
2.021519949611331e-003	1.505600e-003
2.023138791680894e-003	1.560502e-003
2.024729723004058e-003	1.604058e-003
2.026399534886795e-003	1.638585e-003
2.028777755742593e-003	1.668028e-003
2.032629163416705e-003	1.667870e-003
2.038741228435170e-003	1.557948e-003
2.047841707609611e-003	1.215727e-003
2.057607332609610e-003	7.788271e-004
2.063718215109594e-003	5.630590e-004
2.067259702670722e-003	4.805384e-004
2.069742305069041e-003	4.457488e-004
2.071565171328715e-003	4.333527e-004
2.073194992981015e-003	4.320760e-004
2.074829561864563e-003	4.402741e-004
2.076436649256548e-003	4.576481e-004
2.078838097246649e-003	5.006929e-004
2.082726338568087e-003	6.121677e-004
2.088107716306000e-003	8.421058e-004
2.096103501915068e-003	1.296587e-003
2.105869126915068e-003	1.888805e-003
2.112919733531474e-003	2.225438e-003
2.116722477472097e-003	2.345563e-003
2.119355986975797e-003	2.397563e-003
2.122837736015015e-003	2.423552e-003
2.126306920385758e-003	2.398994e-003
2.128627160133549e-003	2.354327e-003
2.132386494980155e-003	2.235502e-003
2.138362740877231e-003	1.940236e-003
2.147306540169237e-003	1.324266e-003
2.157072165169237e-003	5.843187e-004
2.163478762841942e-003	1.666637e-004
2.167097676553930e-003	-1.999475e-005
2.169625457479478e-003	-1.240941e-004
2.171478144237578e-003	-1.854431e-004
2.173086826281681e-003	-2.280207e-004
2.174637401855721e-003	-2.594508e-004
2.176365209280465e-003	-2.832519e-004
2.178721944028539e-003	-2.966872e-004
2.182539253027499e-003	-2.731268e-004
2.188601119449252e-003	-1.318030e-004
2.197644095061143e-003	2.476014e-004
2.207409720061143e-003	7.186469e-004
2.213630421439558e-003	9.554378e-004
2.217200205914803e-003	1.046249e-003
2.219699364992219e-003	1.085704e-003
2.221533177387857e-003	1.100958e-003
2.223155232236000e-003	1.104414e-003
2.224758929706698e-003	1.098401e-003
2.226410392847373e-003	1.082352e-003
2.228795409396102e-003	1.041659e-003
2.232657596730840e-003	9.334931e-004
2.238785506025289e-003	6.675280e-004
2.245102096888731e-003	3.066950e-004
2.252095924338254e-003	-1.306169e-004
2.258412489889118e-003	-4.931515e-004
2.264068756481530e-003	-7.422070e-004
2.267498302136817e-003	-8.430917e-004
2.269914888170907e-003	-8.875747e-004
2.271693904766530e-003	-9.053280e-004
2.273352195443044e-003	-9.100657e-004
2.274920540897800e-003	-9.039067e-004
2.276470466316741e-003	-8.876164e-004
2.278893073634439e-003	-8.419888e-004
2.282814843756930e-003	-7.177549e-004
2.289030109814176e-003	-4.072455e-004
2.298247287586259e-003	2.303103e-004
2.308012912586259e-003	9.574008e-004
